"","SubjID","Image.1","Image.2","Image.3","T2.1","T3.1","T4.1","T.7","gender","age","height","weight","education","marriage","wor.env","environmentalist","gov.staff","smoke","T.35.2","fam.income","Location","Image","sub.topic","topic"
"376","D20180113A0928","<U+6E29><U+5BA4><U+6548><U+5E94>","<U+5168><U+7403><U+53D8><U+6696>","<U+96FE><U+973E>","1","3","3","3","0","32","165","120","7","2",NA,"<U+5426>","1","<U+5426>","1","5","Yangzhou","Image.1.tag","h-2","h"
"377","D20180113A0935","<U+54B3><U+55FD>","<U+9F3B><U+708E>","<U+54BD><U+708E>","2","1","1","4","0","56","165","118","3","2","1","<U+5426>","0","<U+5426>","2","3","Yangzhou","Image.1.tag","e-2","e"
"378","D20180113A0937","<U+51B7><U+6696><U+4E0D><U+7A33><U+5B9A>","<U+80FD><U+6E90><U+6D88><U+8D39>","<U+5927><U+6C14><U+6C61><U+67D3>","2","1","3","4","0","70","158","124","3","2","1",NA,NA,"<U+5426>","1","3","Yangzhou","Image.1.tag","x","t"
"379","D20180113A0938","<U+5927><U+96FE>","<U+72C2><U+98CE>","<U+5927><U+96EA>","1","1","3","5","0","41","162","102","5","2","3","<U+5426>","0","<U+5426>","1","3","Yangzhou","Image.1.tag","c-1","c"
"380","D20180113A0939","<U+96FE><U+973E>","<U+6E29><U+5DEE>","<U+5168><U+7403><U+6C14><U+6E29><U+53D8><U+6696>","2","1","1","5","0","37","162","118","6","2","3","<U+662F>","0","<U+5426>","1","5","Yangzhou","Image.1.tag","c-1","c"
"381","D20180113A0940","<U+6D77><U+6D0B><U+6C34><U+4F4D><U+5347><U+9AD8>",NA,NA,"1","1","1","5","0","40","168","115","6","2","1","<U+5426>","0","<U+5426>","1","4","Yangzhou","Image.1.tag","a-5","a"
"382","D20180113A0942","<U+78A7><U+7A7A><U+4E07><U+91CC>","<U+66B4><U+98CE><U+9AA4><U+96E8>","<U+51B0><U+96EA><U+4E25><U+5BD2>","2","1","2","4","0","50","156","105","4","2","3","<U+5426>","0","<U+5426>",NA,"3","Yangzhou","Image.1.tag","s-2","s"
"383","D20180113A0944","<U+6EF4><U+6C34><U+6210><U+51B0>","<U+6C99><U+5C18><U+5F25><U+6F2B>","<U+6C61><U+6C34><U+6210><U+6CB3>","2","1","1","4","1","30","175","140","6","2","1",NA,NA,"<U+5426>","1","3","Yangzhou","Image.1.tag","s-1","s"
"384","D20180113A0945","<U+6D77><U+6C34><U+4E0A><U+5347>","<U+6C99><U+5C18><U+5929><U+6C14>","<U+6C61><U+6C34><U+6210><U+6CB3>","2","2","1","4","1","52","168","140","3","2","3",NA,NA,"<U+5426>","2","3","Yangzhou","Image.1.tag","a-5","a"
"385","D20180113A0947","<U+96FE><U+973E>","<U+6E29><U+5DEE>","<U+6C14><U+5019><U+53D8><U+5316>","2","3","1","4","1","60","175","140","3","2","3","<U+5426>","0","<U+662F>",NA,"4","Yangzhou","Image.1.tag","c-1","c"
